"Make & Model
",Issue Tested,Base MSRP,Engine Type,Transmission,Rear-Wheel HP,Rear-Wheel TQ (lb.-ft.),Wet Weight,Average MPG,Top Speed,"0–60 mph, sec.","0–100 mph, sec.","0–1/4 mile, sec.","0–1/4 mile, mph",Braking 60–0 mph (feet),Power to Weight,"Rating Category
Overall Rating",,,,dimensions,15
Bandit GS600S,3/00,$5799,I-4,6,68.6,36.5,505,32.3,127,3.97,10.72,12.16,108.93,114.1,1:7.36,Middleweight Standard,,,,,
GSX-R600 ’97,5/97,$7699,I-4,6,92.4,44.0,440,40.6,152,3.53,7.55,11.11,124.70,113.3,1:4.76,Middleweight Sportbike,,,,,
GSX-R600 ’98,6/98,$7799,I-4,6,93.1,46.1,440,38.7,150,3.35,7.62,11.14,122.62,114.6,1:4.73,Middleweight Sportbike,,,,,
GSX-R600 ’99,6/99,$7799,I-4,6,91.4,44.1,446,39.2,151,3.25,7.40,11.07,123.07,115.9,1:4.88,Middleweight Sportbike,,,,,
GSX-R600 ’01,1/01,$7999,I-4,6,100.6,45.5,423,38.6,156,3.02,6.53,10.60,128.29,117.6,1:4.20,Middleweight Sportbike,,,,,
GSX-600F Katana,7/98,$6199,I-4,6,68.8,37.4,507,40.0,134,4.12,10.81,12.25,108.40,115.4,1:7.37,Middleweight Sportbike,,,,,
Burgman 650,5/04,$7699,I-2,CVT,37.4,58.6,607,46.4,101,7.00,n/.a,15.19,84.90,120.8,1:16.23,Maxi-Scooter,,,,,
Burgman 650 ABS ‘13,1/14,"$10,999",I-2,CVT,41.1,30.4,615,51.16,96.2,6.74,n/.a,14.97,83.23,131.38,1:14.96,Maxi-Scooter,,,,,
GSX650F,6/08,$6999,I-4,6,70.4,40.2,533,44.3,133,4.19,11.68,12.42,104.94,111.8,1:7.57,Middleweight Standard,,,,,
DR650SE,7/96,$5199,1,5,34.5,33.2,358,42.5,98,5.55,n/.a,14.03,89.87,118.9,1:10.38,Middleweight Dual-Sport,,,,,
DR650SE ’07,10/07,$5099,1,5,35.6,33.3,368,52.5,95,5.66,n/.a,14.03,85.11,131.7,1:10.34,Middleweight Dual-Sport,,,,,
DL650 V-Strom,5/04,$6599,V-2,6,62.0,42.2,472,47.7,115,3.98,n/.a,12.52,101.00,122.9,1:7.61,Middleweight Dual-Sport,,,,,
DL650 ABS Adventure,5/12,$9799,V-2,6,63.33,41.64,495.5,46.8,107.8,3.98,n/.a,12.45,102.05,132.42,1:7.82,Middleweight Adventure,,,,,
SFV650 Gladius,8/09,$6499,V-2,6,68.82,44.7,448.5,48.5,127.4,3.82,11.83,12.23,127.4,115.7,1:6.52,Middleweight Standard,,,,,
SV650 ’99,4/99,$5699,V-2,6,65.2,42.4,417,40.8,121,3.76,10.75,12.04,107.22,108.8,1:6.40,Middleweight Standard,,,,,
SV650 ‘03,10/03,$5899,V-2,6,68.6,45.2,428,35.5,126,3.74,9.75,11.89,111.36,120.3,1:6.24,Middleweight Standard,,,,,
SV650S ’03,7/03,$6299,V-2,6,69.0,45.1,433,47.8,128,3.61,9.07,11.63,114.41,119.0,1:6.28,Middleweight Sportbike,,,,,
SV650S ’07,5/07,$6499,V-2,6,68.2,42.8,435,58.3,131,3.80,10.51,12.05,108.32,119.2,1:6.38,Middleweight Sportbike,,,,,
LS650,9/96,$4399,1,5,24.6,30.5,390,50.0,85,6.98,n/.a,15.30,81.11,117.1,1:15.85,Lightweight Cruiser,,,,,
GSX-750F Katana,7/98,$7199,I-4,6,84.6,46.6,518,44.1,143,3.52,8.67,11.52,116.26,111.4,1:6.12,Middleweight Sportbike,,,,,
GSX-R750 ’96,9/96,$8999,I-4,6,113.7,54.4,451,36.9,155,3.51,7.33,10.96,125.94,112.0,1:3.97,Middleweight Sportbike,,,,,
GSX-R750 ’98,2/98,$9299,I-4,6,112.0,54.0,459,36.4,165,3.08,6.60,10.57,131.22,114.4,1:4.10,Middleweight Sportbike,,,,,
GSX-R750 ’07,11/06,$9999,I-4,6,118.9,51.24,437,41.3,174,3.25,6.50,10.60,132.41,119.2,1:3.68,Middleweight Sportbike,,,,,
GSX-R750 ’11,8/11,"$11,999",I-4,6,121.2,52.69,415.5,44.0,170.1,3.13,6.42,10.53,130.93,123.36,1:3.43,Middleweight Sportbike,,,,,
Marauder 800,6/97,$5999,V-2,5,39.7,41.8,485,45.2,101,5.51,n/.a,13.87,94.04,107.6,1:12.22,Middleweight Cruiser,,,,,
VL800 Volusia,12/01,$6599,V-2,5,39.9,42.5,588,34.9,110,6.22,n/.a,14.44,89.41,121.1,1:14.74,Middleweight Cruiser,,,,,
Boulevard M50,6/05,$6749,V-2,5,41.9,42.1,575,48.0,107,5.39,n/.a,13.99,88.88,118.3,1:13.72,Middleweight Cruiser,,,,,
GSX-R1000 ’02,4/02,"$10,399",I-4,6,139.0,75.4,435,38.6,173,2.95,5.58,9.99,142.52,121.4,1:3.13,Open Sportbike,,,,,
GSX-R1000 ’06,4/06,"$10,999",I-4,6,147.3,75.4,439,39.5,178,2.35,4.96,9.55,143.02,115.0,1:2.98,Open Sportbike,,,,,
TL1000S,8/97,$8999,V-2,6,108.9,70.8,470,36.9,156,3.40,6.94,10.85,127.70,109.4,1:4.32,Open Sportbike,,,,,
TL1000R,8/98,$9499,V-2,6,112.0,67.9,509,39.1,166,3.22,6.93,10.79,129.54,115.8,1:4.54,Open Sportbike,,,,,
DL1000 V-Strom,9/02,$8899,V-2,6,89.2,65.6,523,43.7,124,3.61,8.96,11.56,114.10,118.4,1:5.86,Open Adventure-Tourer,,,,,
SV1000S,6/03,$8599,V-2,6,103.1,66.1,480,43.2,146,3.08,6.56,10.59,130.81,112.7,1:4.66,Open Sportbike,,,,,
Bandit 1200S,11/00,$7399,I-4,5,101.7,73.8,542,37.0,151,3.07,6.97,10.75,125.59,114.2,1:5.33,Open Standard,,,,,
Bandit 1250S,8/07,$8299,I-4,6,99.2,77.1,560,39.3,152,3.36,8.40,11.34,115.92,116.5,1:5.65,Open Standard,,,,,
GSX1250FA ABS,11/11,"$11,599",I-4,6,99.48,75.66,569.5,42.8,152.3,3.37,8.81,11.49,114.35,122.7,1:5.72,Open Sportbike,,,,,
GSX1300R Hayabusa ’99,6/99,"$10,499",I-4,6,151.1,93.4,550,38.5,188,2.76,5.30,9.84,142.76,112.2,1:3.64,Open Sportbike,,,,,
GSX1300R Hayabusa ’08,2/08,"$11,999",I-4,6,171.0,102.3,577,42.5,186,2.78,5.30,9.77,145.97,111.7,1:3.37,Open Sportbike,,,,,
B-King,3/08,"$12,889",I-4,6,163.9,97.2,578,33.8,158,2.86,5.51,9.99,138.42,119.6,1:3.53,Open Standard,,,,,
VL1500 Intruder LC,4/98,$9899,V-2,5,52.9,73.5,701,36.0,109,5.99,n/.a,14.15,92.10,112.6,1:13.25,Heavyweight Cruiser,,,,,
Boulevard C90T,2/13,"$13,999",V-2,5,68.5,84.1,801,34.1,113.5,4.89,n/.a,13.46,96.12,135.6,1:11.7,Heavyweight Cruiser,,,,,
Boulevard M90,2/09,$9999,V-2,5,69.37,82.68,725.5,33.9,118,4.73,n/.a,13.11,96.51,131.25,1:10.37,Heavyweight Cruiser,,,,,
Boulevard M109R,6/06,"$12,399",V-2,5,104.8,97.2,761,40.7,128,3.65,8.87,11.62,114.91,135.4,1:7.26,Heavyweight Cruiser,,,,,
Boulevard C109RT,11/08,"$14,999",V-2,5,97.7,97.1,878,31.9,126,4.33,n/.a,12.67,101.80,127.7,1:8.98,Heavyweight Cruiser,,,,,
Triumph TT600,3/01,$8299,I-4,6,88.9,39.2,452,39.9,149,3.39,7.57,11.09,122.60,114.8,1:5.08,Middleweight Sportbike,,,,,
Speed 4,5/03,$7499,I-4,6,79.6,38.8,453,40.7,138,3.40,8.03,11.29,119.10,109.7,1:5.69,Middleweight Standard,,,,,
Daytona 650,11/05,$7999,I-4,6,96.9,44.0,442,42.5,156,2.92,6.85,10.75,125.93,116.8,1:4.56,Middleweight Sportbike,,,,,
Daytona 675,11/06,$8999,I-3,6,105.7,48.0,417,40.3,159,3.42,7.20,10.96,127.32,124.5,1:3.95,Middleweight Sportbike,,,,,
Daytona 675R ’11,7/11,"$11,999",I-3,6,110.22,47.68,416.5,37.3,157.3,3.73,7.39,11.08,127.39,132.9,1:3.83,Middleweight Sportbike,,,,,
Daytona 675R ’13,12/13,"$13,499",I-3,6,117.6,50.3,421.5,35.0,156.8,4.02,7.53,10.92,128.87,132.1,1:3.58,Middleweight Sportbike,,,,,
Street Triple,8/08,$7999,I-3,6,90.6,43.5,441,38.7,141,3.41,7.98,11.17,120.06,118.0,1:4.56,Middleweight Standard,,,,,
Street Triple R,8/09,$9499,I-3,6,92.24,44.25,420.5,40.1,141.7,3.36,7.97,11.31,118.1,114.6,1:4.54,Middleweight Standard,,,,,
Street Triple R,3/13,$9999,I-3,6,95.35,45.18,413,38.5,141,3.64,7.93,11.42,118.97,129.4,1:4.33,Middleweight Standard,,,,,
Tiger 800XC,8/11,"$10,999",I-3,6,80.1,48.51,503,44.3,129,4.08,10.56,12.19,108.72,128.4,1:6.20,Middleweight Adventure,,,,,
Bonneville ’01,4/01,$6999,I-2,5,53.9,40.8,500,41.1,114,5.20,17.00,13.52,96.97,115.0,1:9.28,Middleweight Standard,,,,,
Bonneville ’09,11/09,$7699,I-2,5,56.31,43.48,492,48.4,120.1,5.21,15.62,13.52,97.83,117.1,1:8.73,Middleweight Standard,,,,,
Speedmaster,4/03,$8699,I-2,5,53.1,40.3,580,37.1,103,6.22,n/.a,14.47,90.10,125.5,1:10.92,Middleweight Cruiser,,,,,
Thruxton,2/05,$7999,I-2,5,54.9,43.8,489,41.7,124,5.33,13.42,13.42,100.00,133.8,1:8.91,Middleweight Sportbike,,,,,
Thruxton ‘13,10/12,$8799,I-2,5,61.70,47.03,501,46.8,125.9,5.01,n/.a,13.28,99.61,136.5,1:8.12,Middleweight Standard,,,,,
Scrambler,10/06,$7999,I-2,5,47.4,45.0,513,36.6,104,6.32,n/.a,14.85,84.38,148.6,1:10.82,Middleweight Standard,,,,,
Scrambler ‘12,5/12,$8799,I-2,5,50.13,44.43,512.5,50.7,107.9,4.94,17.40,13.41,96.63,121.26,1:10.22,Middleweight Standard,,,,,
Trophy 900,12/96,"$11,595",I-3,6,90.9,54.4,603,33.5,136,4.17,10.03,12.17,112.90,118.1,1:6.63,Open Sport-Tourer,,,,,
Thunderbird,1/10,"$16,544",I-2,6,93.05,74.21,801,35.1,109.4,4.79,n/.a,13.31,95.52,126.7,1:10.79,Heavyweight Cruiser,,,,,
Thunderbird Sport,8/00,$8699,I-3,6,71.3,53.7,538,41.8,109,3.88,10.77,12.19,104.30,115.8,1:7.55,Open Standard,,,,,
Tiger 900 ’98,10/98,$9995,I-3,6,74.8,53.5,576,32.9,121,4.45,12.52,12.17,104.10,117.8,1:7.70,Open Adventure-Tourer,,,,,
Tiger 900 ’99,7/99,"$10,395",I-3,6,71.0,48.9,547,46.3,120,4.34,n/.a,12.66,102.84,129.6,1:7.70,Open Adventure-Tourer,,,,,
Tiger 1200 Explorer,8/12,"$15,699",I-3,6,113.94,74.59,589,43,132.2,3.47,8.01,11.32,118.07,121.3,1:5.17,Open Adventure-Tourer,,,,,
T509 Speed Triple,11/97,$9995,I-3,6,82.2,52.3,480,34.6,141,3.88,9.29,11.85,114.90,110.8,1:5.84,Open Standard,,,,,
Speed Triple ’03,9/03,$8890,I-3,6,103.1,63.7,484,44.0,153,3.26,7.49,11.04,124.35,116.7,1:4.69,Open Standard,,,,,
Speed Triple ’99,2/99,"$10,199",I-3,6,100.0,62.9,483,34.1,143,3.17,7.59,11.05,119.04,106.7,1:4.83,Open Standard,,,,,
Tiger 955I ’01,10/01,"$10,799",I-3,6,80.3,57.3,543,43.2,130,8.87,10.60,12.06,108.40,115.9,1:6.76,Open Adventure-Tourer,,,,,
Tiger 955i ’02,9/02,"$10,899",I-3,6,80.3,57.3,543,44.9,130,3.87,10.60,12.06,108.40,115.9,1:6.76,Open Adventure-Tourer,,,,,
Tiger ’05,7/05,"$10,499",I-3,6,85.2,60.6,566,45.8,132,3.30,10.12,11.52,109.20,118.8,1:6.64,Open Adventure-Tourer,,,,,
Tiger 1050 ’07,4/07,"$10,699",I-3,6,102.5,65.0,507,35.0,134,3.32,7.70,11.16,118.52,114.6,1:4.95,Open Sport-Tourer,,,,,
Daytona T595 ’97,10/97,"$10,695",I-3,6,103.1,63.6,492,35.8,154,3.31,7.19,10.86,124.60,114.6,1:4.77,Open Sportbike,,,,,
Daytona 955i ’99,7/99,10995,I-3,6,109.5,68.1,490,39.1,157,3.02,6.07,10.62,128.30,117.9,1:4.47,Open Sportbike,,,,,
Daytona 955,12/01,"$10,999",I-3,6,121.4,64.4,483,47.5,161,3.07,6.60,10.60,129.52,116.6,1:3.98,Open Sportbike,,,,,
Sprint GT,2/11,"$13,199",I-3,6,117.75,72.52,595.5,41.8,150.2,3.19,7.21,10.88,125.12,122.7,1:5.02,Open Sport-Tourer,,,,,
Sprint ST ’99,8/99,"$10,499",I-3,6,89.3,59.0,507,38.1,149,3.33,9.93,11.28,120.36,121.4,1:5.68,Open Sportbike,,,,,
Sprint ST ’02,3/02,"$10,899",I-3,6,98.1,61.2,553,46.4,147,3.24,7.45,11.03,122.75,111.8,1:5.64,Open Sportbike,,,,,
Sprint ST ’05,10/05,"$10,599",I-3,6,106.9,68.9,548,37.3,160,3.38,7.73,11.15,122.82,n/.a,1:5.13,Open Sportbike,,,,,
Speed Triple 1050 ’06,2/06,$9999,I-3,6,110.4,69.5,488,40.6,143,3.25,6.98,10.82,125.01,104.8,1:4.42,Open Standard,,,,,
Speed Triple 1050 ’09,9/09,"$12,299",I-3,6,119.75,72.2,484.5,41.7,146,3.47,7.64,11.21,120.0,120.0,1:4.05,Open Standard,,,,,
Speed Triple R,6/12,"$15,999",I-3,6,124.02,76.06,479.5,39.2,154.3,2.99,6.98,10.80,125.49,128.7,1:3.87,Open Standard,,,,,
Trophy SE,4/13,"$18,999",I-3,6,115.9,75.61,716,41.5,134.4,3.7,8.48,11.53,116.58,124.3,1:6.76,Open Sport-Tourer,,,,,
Rocket III,12/04,"$15,990",I-3,5,127.1,144.6,797,31.3,145,3.59,8.29,11.44,118.33,129.1,1:6.27,Heavyweight Cruiser,,,,,
Rocket III Roadster,6/13,"$14,990",I-3,5,119.36,135.71,807,39.6,120.8,3.47,9.08,11.57,112.33,134.6,1:6.76,Heavyweight Cruiser,,,,,
Ural Patrol Sidecar Combo,3/05,$9695,O-2,4+R,n/.a,n/.a,746,31.3,n/.a,n/.a,n/.a,n/.a,n/.a,n/.a,n/a,MC/Sidecar Combo,,,,,
Gear-Up,10/11,"$13,799",O-2,4+R,28.57,32.21,866.5,24.5,73,15.97,n/.a,n/.a,n/.a,191.49,1:28.05,MC/Sidecar Combo,,,,,
Vectrix VX-1 Li+,4/12,"$13,995",DC,Auto,18.57,n/.a,454.5,n/.a,68.5,12.47,n/.a,12.47,68.23,141.04,1:24.49,Electric Scooter,,,,,
Victory V92C Deluxe,2/02,"$15,499",V-2,5,67.1,86.2,711,41.0,105,4.83,n/.a,13.35,94.90,117.8,1:10.60,Heavyweight Cruiser,,,,,
Vegas,8/03,"$14,999",V-2,5,70.0,87.5,661,33.0,119,4.31,11.93,12.56,105.64,131.2,1:9.44,Heavyweight Cruiser,,,,,
Hammer,8/05,"$16,499",V-2,6,73.1,90.8,703,42.8,127,4.31,n/.a,12.79,101.64,126.3,1:9.62,Heavyweight Cruiser,,,,,
Hammer 106 (Premium),7/09,"$17,499",V-2,6,90.31,104.74,714,38.23,120,4.03,11.25,12.33,106.65,128.2,1:7.89,Heavyweight Cruiser,,,,,
8-Ball,1/07,"$13,399",V-2,5,104.5,110.2,668,29.4,130,3.88,9.82,11.91,113.26,120.4,1:6.39,Heavyweight Cruiser,,,,,
Kingpin Tour,1/09,"$18,399",V-2,6,75.5,94.1,767,35.2,112,4.50,n/.a,13.08,96.30,125.8,1:10.15,Heavyweight Cruiser,,,,,
Vision Tour,4/08,"$19,999",V-2,6,80.3,93.4,810,35.2,118,4.65,14.52,12.96,100.55,124.9,1:11.01,Luxury Tourer,,,,,
Cross Country,12/10,"$17,999",V-2,6,79.91,92.54,806,42.3,117.3,4.79,n/.a,13.12,100.36,121.9,1:10.09,Heavyweight Cruiser,,,,,
Judge,4/12,"$13,999",V-2,6,76.81,97.22,691,43.7,115.7,4.09,11.90,12.44,106.14,123.6,1:9,Heavyweight Cruiser,,,,,
Yamaha TW200,2/10,$4190,1,5,13.17,9.14,282.5,60.75,70.6,14.75,n/.a,18.61,65.82,141.41,1:21.45,Lightweight Dual-Sport,,,,,
Virago 250,5/96,$3899,V-2,5,18.4,14.3,325,66.9,75,9.98,n/.a,17.24,70.66,117.1,1:17.66,Lightweight Cruiser,,,,,
Morphous Scooter,4/06,$5199,1,Auto,14.6,11.0,445,52.3,n/.a,n/.a,n/.a,n/.a,n/.a,n/.a,1:30.47,Middleweight Scooter,,,,,
XT250,4/08,$4399,1,5,15.4,11.8,288,67.8,75.9,10.35,n/.a,16.97,71.76,158.0,1:18.70,Lightweight Dual-Sport,,,,,
WR250R,12/09,$6090,1,6,24.0,14.98,301.5,53.3,88.8,8.71,n/.a,16.39,71.82,141.1,1:12.49,Lightweight Dual-Sport,,,,,
WR250X,7/08,$5999,1,6,26.9,16.5,301,53.4,88.5,7.69,n/.a,15.75,77.40,120.7,1:11.15,Lightweight Supermoto,,,,,
Tmax Scooter,10/08,$7999,I-2,CVT,34.9,29.7,491,48.1,94.0,9.23,n/.a,16.71,82.87,122.2,1:14.05,Maxi-Scooter,,,,,
YZF600R ’97,5/97,$7399,I-4,6,85.6,44.3,486,42.9,149,3.42,7.70,11.17,122.00,108.2,1:5.68,Middleweight Sportbike,,,,,
YZF600R ’06,12/05,$7099,I-4,6,82.0,41.8,490,43.3,147,4.12,9.43,12.01,115.17,119.4,1:5.98,Middleweight Sportbike,,,,,
YZF-R6 ’99,6/99,$7999,I-4,6,93.3,42.0,430,38.1,157,3.35,7.26,10.97,125.18,116.5,1:4.61,Middleweight Sportbike,,,,,
YZF-R6 ’01,3/01,$7999,I-4,6,97.5,44.4,426,42.5,156,3.02,6.58,10.59,128.10,112.3,1:4.37,Middleweight Sportbike,,,,,
FZ6,3/04,$6499,I-4,6,85.8,41.5,460,39.4,136,3.44,8.05,11.32,118.01,116.5,1:5.36,Middleweight Standard,,,,,
FZ6 ’07,5/07,$6849,I-4,6,85.6,42.0,464,52.8,141,3.65,9.05,11.70,114.19,114.9,1:5.42,Middleweight Standard,,,,,
FZ6R,8/09,$6990,I-4,6,65.37,38.64,476.5,46.9,128.8,4.15,12.07,12.49,104.5,113.1,1:7.28,Middleweight Standard,,,,,
FZ8,5/11,$8490,I-4,6,89.47,51.19,468,44.1,137.4,3.51,8.50,11.55,115.71,113.9,1:5.23,Middleweight Standard,,,,,
FZ8,5/13,$8890,I-4,6,95.06,54.26,464,44.1,138.4,3.69,8.43,11.53,117.21,116.7,1:4.88,Middleweight Standard,,,,,
FZ-09,12/13,$7999,I-3,6,105.4,59.5,417,40.9,130,3.44,7.09,11.01,122.29,121.9,1:4.44,Middleweight Standard,,,,,
V Star,5/98,$5899,V-2,5,33.4,35.4,535,41.2,91,7.82,n/.a,15.82,82.41,120.2,1:16.02,Middleweight Cruiser,,,,,
Bolt,9/13,$7990,V-2,5,48.18,53.74,511.5,48.7,95.6,6.02,n/.a,14.22,91.83,132.4,1:10.61,Middleweight Cruiser,,,,,
FZ1 ’01,5/01,$8499,I-4,6,124.9,73.9,512,40.0,154,3.01,6.48,10.55,129.70,111.1,1:4.10,Open Standard,,,,,
FZ1 ’04,6/04,$8499,I-4,6,124.9,73.9,512,41.8,154,3.01,6.48,10.55,129.70,111.1,1:4.10,Open Standard,,,,,
FZ1 ’06,6/06,$9099,I-4,6,126.6,65.7,494,37.4,154,3.23,6.68,10.74,123.22,114.4,1:3.90,Open Standard,,,,,
FZ1 ’09,3/10,$9299,I-4,6,126.23,65.17,495.5,32.1,153.6,3.23,6.68,10.74,123.22,114.4,1:3.90,Open Standard,,,,,
V Star 950 Tourer,5/09,$8990,V-2,5,46.24,53.27,658,41.4,97.3,6.51,n/.a,14.93,83.97,133.8,1:14.23,Middleweight Cruiser,,,,,
YZF-R1 ’98,5/98,"$10,199",I-4,5,129.4,72.7,451,42.8,168,2.96,5.93,10.19,131.40,113.9,1:3.49,Open Sportbike,,,,,
YZF-R1 ’02,8/02,"$10,299",I-4,6,127.2,70.4,439,41.5,173,2.99,5.79,10.17,136.56,115.3,1:3.45,Open Sportbike,,,,,
YZF-R1S,6/04,"$10,599",I-4,6,144.5,68.9,446,41.6,179,3.04,5.42,9.90,144.98,117.3,1:3.09,Open Sportbike,,,,,
YZF-R1 ’07,3/07,"$11,599",I-4,6,156.7,75.5,459,36.0,182,2.94,5.46,9.88,145.50,117.9,1:2.93,Open Sportbike,,,,,
YZF-R1 ’10,2/10,"$13,290",I-4,6,153.77,76.28,471.5,29.4,176.7,2.88,5.60,10.05,138.51,124.0,1:3.06,Open Sportbike,,,,,
YZF1000R,6/97,$9799,I-4,5,123.4,71.3,512,36.6,164,2.96,6.18,10.38,132.72,111.3,1:4.15,Open Sportbike,,,,,
V Star 1100,6/99,$7799,V-2,5,52.1,58.0,610,35.8,113,5.33,n/.a,13.68,95.41,121.3,1:11.71,Heavyweight Cruiser,,,,,
V Star 1100 Classic,2/00,$8099,V-2,5,48.7,57.2,658,34.2,94,6.53,n/.a,14.91,83.59,130.7,1:13.51,Heavyweight Cruiser,,,,,
XT1200Z Super Ténéré,12/11,"$13,900",I-2,6,91.3,72.3,587,37.9,127.7,3.65,10.12,11.89,109.57,130.4,1:6.43,Open Adventure-Tourer,,,,,
V Star 1300 Tourer,3/07,"$11,190",V-2,5,64.8,70.9,719,42.3,105,5.14,n/.a,13.62,93.33,121.1,1:11.10,Middleweight Cruiser,,,,,
V-Max,4/97,"$10,499",V-4,5,113.5,83.1,631,34.2,145,3.33,7.74,11.09,121.49,122.3,1:5.56,Heavyweight Cruiser,,,,,
VMax,7/09,"$17,999",V-4,5,173.3,110.92,694,28.3,137.6,3.00,6.00,10.30,136.44,124.8,1:4.00,Heavyweight Cruiser,,,,,
Royal Star Tour Deluxe ’99,3/99,"$15,199",V-4,5,60.6,73.0,796,34.5,101,5.98,n/.a,14.32,89.05,121.5,1:13.14,Heavyweight Cruiser,,,,,
Royal Star Venture,4/99,"$15,999",V-4,5,77.2,77.3,873,35.2,110,5.27,n/.a,13.65,92.32,124.6,1:11.31,Custom Tourer,,,,,
Royal Star M’night Venture,2/04,"$16,899",V-4,5,75.1,75.5,890,35.2,109,5.20,n/.a,13.58,95.25,127.8,1:11.85,Custom Tourer,,,,,
Royal Star Tour Dlx ’05,11/04,"$13,999",V-4,5,72.4,74.0,851,34.8,114,5.39,n/.a,14.15,93.17,135.3,1:11.75,Heavyweight Cruiser,,,,,
FJR1300 ’03,3/03,"$11,499",I-4,5,120.7,87.6,637,39.5,153,2.97,6.84,10.68,126.28,117.8,1:5.28,Open Sport-Tourer,,,,,
FJR1300 ’07,12/07,"$13,799",I-4,5,120.8,85.2,673,39.9,148,3.20,7.72,11.12,119.60,144.5,1:5.57,Open Sport-Tourer,,,,,
FJR1300AE ’06,8/06,"$15,299",I-4,5,121.2,87.4,682,43.2,152,4.05,9.12,11.85,117.71,130.5,1:5.63,Open Sport-Tourer,,,,,
FJR1300 ’10,8/10,"$15,190",I-4,5,121.46,85.8,662,44.8,146.2,3.30,7.71,11.14,119.51,119.6,1:5.45,Open Sport-Tourer,,,,,
FJR1300A ‘13,2/13,"$15,890",I-4,5,129.3,91.1,669,41.2,150.7,3.18,7.61,11.07,118.83,126.5,1:5.2,Open Sport-Tourer,,,,,
Road Star,7/99,"$10,499",V-2,5,52.1,83.1,740,31.4,106,5.99,n/.a,14.20,91.15,119.4,1:14.20,Heavyweight Cruiser,,,,,
Road Star Warrior,4/02,"$11,999",V-2,5,71.8,92.4,654,40.7,125,3.93,n/.a,12.25,105.52,114.5,1:9.11,Heavyweight Cruiser,,,,,
Raider,1/08,"$13,180",V-2,5,83.1,99.0,737,37.0,125,4.01,11.23,12.27,106.73,120.2,1:8.88,Heavyweight Cruiser,,,,,
Raider S,10/09,"$14,590",V-2,5,84.15,106.58,738.5,40.4,125,4.01,11.23,12.27,106.73,120.2,1:8.76,Heavyweight Cruiser,,,,,
Roadliner S,1/06,"$14,980",V-2,5,84.8,107.8,762,37.6,126,4.12,11.22,12.32,107.28,119.8,1:8.99,Heavyweight Cruiser,,,,,
Star Stratoliner S,12/10,"$17,490",V-2,5,86.15,106.94,811,40.5,119.2,4.31,n/.a,12.49,102.93,123.3,1:9.41,Heavyweight Cruiser,,,,,
Zero DS Electric,7/11,"$10,495",DC,1,22.6,n/.a,296,n/.a,68.1,11.73,n/.a,19.31,66.86,139.2,1:13.15,Electric Dual-Sport,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
